127.0.0.1 - - [13/Jul/2018:14:56:49 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [13/Jul/2018:14:56:51 +0530] "GET /ksrattendance/ HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [13/Jul/2018:14:57:01 +0530] "GET /ksrattendance/first.html HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [13/Jul/2018:14:57:28 +0530] "GET /ksrattendance/first.html HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [13/Jul/2018:14:57:29 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [13/Jul/2018:14:57:45 +0530] "POST /ksrattendance/details HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:09:35 +0530] "GET /ksrattendance/first.html HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:09:38 +0530] "POST /ksrattendance/details HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:10:17 +0530] "POST /ksrattendance/details HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:10:51 +0530] "POST /ksrattendance/details HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:12:05 +0530] "POST /ksrattendance/details HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:15:13 +0530] "POST /ksrattendance/details HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:16:13 +0530] "POST /ksrattendance/details HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:16:23 +0530] "POST /ksrattendance/details HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:18:45 +0530] "POST /ksrattendance/details HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:18:51 +0530] "POST /ksrattendance/details HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:19:01 +0530] "POST /ksrattendance/details HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:19:08 +0530] "POST /ksrattendance/details HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:19:55 +0530] "POST /ksrattendance/details HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:20:31 +0530] "POST /ksrattendance/details HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:21:04 +0530] "POST /ksrattendance/details HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [13/Jul/2018:15:21:36 +0530] "POST /ksrattendance/details HTTP/1.1" 200 565
